,home_120,home_36,home_452,home_597,home_688,home_710,home_797,home_8,home_827,home_93,home_933,home_962,home_966,home_990
home_120,0.0,0.0,0.05555555555555555,0.0,0.0,0.16666666666666666,0.05555555555555555,0.2222222222222222,0.0,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.0,0.0
home_36,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0
home_452,0.05555555555555555,0.1388888888888889,0.0,0.0,0.0,0.16666666666666666,0.19444444444444445,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.1388888888888889,0.05555555555555555,0.0
home_597,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
home_688,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
home_710,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.0,0.045454545454545456,0.22727272727272727,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.22727272727272727,0.045454545454545456,0.0
home_797,0.125,0.041666666666666664,0.16666666666666666,0.0,0.0,0.125,0.0,0.20833333333333334,0.0,0.125,0.16666666666666666,0.0,0.041666666666666664,0.0
home_8,0.3,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0
home_827,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
home_93,0.25,0.125,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125
home_933,0.1111111111111111,0.07407407407407407,0.18518518518518517,0.0,0.037037037037037035,0.1111111111111111,0.14814814814814814,0.037037037037037035,0.037037037037037035,0.0,0.0,0.18518518518518517,0.07407407407407407,0.0
home_962,0.0967741935483871,0.06451612903225806,0.1935483870967742,0.0,0.0,0.3225806451612903,0.0,0.0,0.0,0.16129032258064516,0.16129032258064516,0.0,0.0,0.0
home_966,0.10714285714285714,0.0,0.17857142857142858,0.0,0.0,0.10714285714285714,0.35714285714285715,0.03571428571428571,0.0,0.03571428571428571,0.17857142857142858,0.0,0.0,0.0
home_990,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
